country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Netherlands,11.1,,,,,10.7,,,,,10.2,,,,,9.55,,,9.61
Norway,7.95,,,,,8.87,,,,,8.94,,,,,7.52,,,7.41
Nepal,1.12,,,,,1.95,,,,,1.94,,,,,2.05,,,2.05
Nauru,6.04,,,,,3.4,,,,,5.73,,,,,3.71,,,3.71
New Zealand,10.4,,,,,10.9,,,,,11.3,,,,,10.4,,,10.6
Oman,6.56,,,,,1.56,,,,,0.73,,,,,0.77,,,0.78
Pakistan,0.085,,,,,0.16,,,,,0.19,,,,,0.29,,,0.34
Panama,5.48,,,,,5.49,,,,,6.84,,,,,7.71,,,7.98
Peru,6.54,,,,,6.99,,,,,7.69,,,,,6.63,,,6.38
Philippines,6.06,,,,,5.67,,,,,6.98,,,,,6.7,,,6.86
Papua New Guinea,1.79,,,,,1.6,,,,,1.67,,,,,1.39,,,1.39
Poland,9.17,,,,,10.6,,,,,11.2,,,,,11.6,,,11.7
North Korea,3.52,,,,,3.68,,,,,3.78,,,,,3.82,,,3.8
Portugal,14.1,,,,,13.4,,,,,12.5,,,,,11.9,,,12
Paraguay,6.38,,,,,6.66,,,,,7.58,,,,,7.26,,,7.58
Qatar,1.15,,,,,1.67,,,,,1.69,,,,,1.62,,,1.59
Romania,17.4,,,,,15.8,,,,,14,,,,,11.6,,,11.7
Russia,15.7,,,,,17.4,,,,,15.9,,,,,12.5,,,11.2
Rwanda,13.7,,,,,13,,,,,10.3,,,,,9.26,,,8.95
Saudi Arabia,0.18,,,,,0.17,,,,,0.17,,,,,0.2,,,0.19
Sudan,,,,,,,,,,,,,,,,0.52,,,0.51
Senegal,0.96,,,,,0.85,,,,,0.6,,,,,0.73,,,0.76
Singapore,2.49,,,,,1.78,,,,,2.19,,,,,2.07,,,2.03
Solomon Islands,1.2,,,,,1.6,,,,,1.6,,,,,1.55,,,1.83
Sierra Leone,5.8,,,,,5.57,,,,,5.83,,,,,5.63,,,5.7
El Salvador,3.86,,,,,3.8,,,,,3.31,,,,,3.59,,,3.89
Somalia,0,,,,,0.068,,,,,0.28,,,,,0.013,,,0.009
Serbia,,,,,,,,,,,11.7,,,,,8.7,,,8.75
Sao Tome and Principe,8.2,,,,,8.72,,,,,8.34,,,,,7.19,,,5.88
Suriname,5.29,,,,,5.41,,,,,6.22,,,,,5.81,,,5.33
Slovak Republic,12.5,,,,,12.1,,,,,12,,,,,11.5,,,11.1
Slovenia,12.6,,,,,12.3,,,,,11.5,,,,,12.7,,,11.9
Sweden,8.53,,,,,8.64,,,,,9.49,,,,,9.13,,,8.93
Eswatini,7.46,,,,,6.71,,,,,6.82,,,,,9.84,,,10
Seychelles,7.62,,,,,6.13,,,,,10.2,,,,,18.4,,,20.5
Syria,1.15,,,,,0.92,,,,,0.88,,,,,0.28,,,0.24
Chad,4.34,,,,,4.62,,,,,6.58,,,,,1.45,,,1.37
Togo,1.79,,,,,3.26,,,,,2.11,,,,,2.37,,,2.46
Thailand,6.49,,,,,6.81,,,,,7.71,,,,,8.36,,,8.3
Tajikistan,2.97,,,,,2.51,,,,,2.4,,,,,3.11,,,3.28
Turkmenistan,4.82,,,,,4.88,,,,,4.82,,,,,5.3,,,4.93
Timor-Leste,1.53,,,,,0.83,,,,,0.7,,,,,2.01,,,2.17
Tonga,1.7,,,,,2.32,,,,,1.39,,,,,0.68,,,0.8
Trinidad and Tobago,5.27,,,,,6.17,,,,,6.21,,,,,6.88,,,6.72
Tunisia,1.36,,,,,1.46,,,,,1.4,,,,,1.99,,,2.12
Turkey,2.41,,,,,2.12,,,,,2.32,,,,,2.12,,,2.05
Tuvalu,1.96,,,,,2.03,,,,,1.68,,,,,1.98,,,1.52
Tanzania,8.63,,,,,8.71,,,,,9.74,,,,,11.1,,,11.3
Uganda,13.6,,,,,12.9,,,,,13.5,,,,,15.1,,,15.1
Ukraine,12.5,,,,,12,,,,,13.6,,,,,10.2,,,8.32
Uruguay,8.09,,,,,7.46,,,,,7.1,,,,,6.99,,,6.92
United States,9.19,,,,,9.49,,,,,9.36,,,,,9.82,,,9.87
Uzbekistan,5.68,,,,,4.15,,,,,3.01,,,,,2.59,,,2.59
St. Vincent and the Grenadines,5.01,,,,,5.99,,,,,7.03,,,,,8.46,,,9.06
Venezuela,9.15,,,,,9.42,,,,,8.67,,,,,6.82,,,4.14
Vietnam,2.21,,,,,2.63,,,,,4.9,,,,,7.86,,,8.66
Vanuatu,1.17,,,,,1.2,,,,,1.7,,,,,2.14,,,2.25
Samoa,3.79,,,,,4.2,,,,,2.97,,,,,2.59,,,2.66
Yemen,0.79,,,,,0.34,,,,,0.18,,,,,0.055,,,0.051
South Africa,10,,,,,9.58,,,,,10,,,,,9.61,,,9.52
Zambia,4.05,,,,,3.9,,,,,5.43,,,,,6.89,,,6.54
Zimbabwe,2.46,,,,,2.77,,,,,3.93,,,,,4.92,,,4.67
